donor_id,cell_type,disease,n_cells,sample_id
mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13642,pancreatic A cell,type 2 diabetes mellitus,531,mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13642|pancreatic_A_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__STZ__G6,pancreatic D cell,type 2 diabetes mellitus,1472,mouse_pancreatic_islet_atlas_Hrovatin__STZ__G6|pancreatic_D_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13640,pancreatic stellate cell,type 2 diabetes mellitus,293,mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13640|pancreatic_stellate_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__Fltp_adult__mouse3,pancreatic D cell,normal,185,mouse_pancreatic_islet_atlas_Hrovatin__Fltp_adult__mouse3|pancreatic_D_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13639,pancreatic ductal cell,type 2 diabetes mellitus,738,mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13639|pancreatic_ductal_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13632,pancreatic ductal cell,type 2 diabetes mellitus,897,mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13632|pancreatic_ductal_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__spikein_drug__SRR10751514,type B pancreatic cell,normal,965,mouse_pancreatic_islet_atlas_Hrovatin__spikein_drug__SRR10751514|type_B_pancreatic_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13639,type B pancreatic cell,type 2 diabetes mellitus,3053,mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13639|type_B_pancreatic_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13634,pancreatic PP cell,normal,91,mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13634|pancreatic_PP_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__STZ__G5,pancreatic D cell,type 2 diabetes mellitus,1349,mouse_pancreatic_islet_atlas_Hrovatin__STZ__G5|pancreatic_D_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__STZ__G5,pancreatic A cell,type 2 diabetes mellitus,1441,mouse_pancreatic_islet_atlas_Hrovatin__STZ__G5|pancreatic_A_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__Fltp_P16__146_mRFP,pancreatic stellate cell,normal,324,mouse_pancreatic_islet_atlas_Hrovatin__Fltp_P16__146_mRFP|pancreatic_stellate_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__Fltp_2y__MUC13975,pancreatic A cell,normal,184,mouse_pancreatic_islet_atlas_Hrovatin__Fltp_2y__MUC13975|pancreatic_A_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__STZ__G2,pancreatic D cell,type 2 diabetes mellitus,1426,mouse_pancreatic_islet_atlas_Hrovatin__STZ__G2|pancreatic_D_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__STZ__G5,pancreatic stellate cell,type 2 diabetes mellitus,204,mouse_pancreatic_islet_atlas_Hrovatin__STZ__G5|pancreatic_stellate_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__NOD_elimination__SRR7610296,type B pancreatic cell,normal,128,mouse_pancreatic_islet_atlas_Hrovatin__NOD_elimination__SRR7610296|type_B_pancreatic_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__Fltp_adult__mouse1,pancreatic A cell,normal,302,mouse_pancreatic_islet_atlas_Hrovatin__Fltp_adult__mouse1|pancreatic_A_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__Fltp_P16__147_mTmG,pancreatic A cell,normal,911,mouse_pancreatic_islet_atlas_Hrovatin__Fltp_P16__147_mTmG|pancreatic_A_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13633,pancreatic PP cell,normal,147,mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13633|pancreatic_PP_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__Fltp_adult__mouse3,pancreatic A cell,normal,949,mouse_pancreatic_islet_atlas_Hrovatin__Fltp_adult__mouse3|pancreatic_A_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13640,endothelial cell,type 2 diabetes mellitus,302,mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13640|endothelial_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__NOD__SRR10985097,pancreatic ductal cell,normal,26,mouse_pancreatic_islet_atlas_Hrovatin__NOD__SRR10985097|pancreatic_ductal_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__Fltp_adult__mouse4,pancreatic D cell,normal,254,mouse_pancreatic_islet_atlas_Hrovatin__Fltp_adult__mouse4|pancreatic_D_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__STZ__G5,pancreatic ductal cell,type 2 diabetes mellitus,61,mouse_pancreatic_islet_atlas_Hrovatin__STZ__G5|pancreatic_ductal_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__NOD__SRR10985099,endothelial cell,normal,29,mouse_pancreatic_islet_atlas_Hrovatin__NOD__SRR10985099|endothelial_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__NOD__SRR10985098,type B pancreatic cell,normal,306,mouse_pancreatic_islet_atlas_Hrovatin__NOD__SRR10985098|type_B_pancreatic_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13641,pancreatic D cell,type 2 diabetes mellitus,375,mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13641|pancreatic_D_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__spikein_drug__SRR10751514,pancreatic A cell,normal,141,mouse_pancreatic_islet_atlas_Hrovatin__spikein_drug__SRR10751514|pancreatic_A_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__NOD_elimination__SRR7610297,type B pancreatic cell,normal,231,mouse_pancreatic_islet_atlas_Hrovatin__NOD_elimination__SRR7610297|type_B_pancreatic_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13639,pancreatic stellate cell,type 2 diabetes mellitus,926,mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13639|pancreatic_stellate_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13639,pancreatic D cell,type 2 diabetes mellitus,829,mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13639|pancreatic_D_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__Fltp_2y__MUC13975,endothelial cell,normal,447,mouse_pancreatic_islet_atlas_Hrovatin__Fltp_2y__MUC13975|endothelial_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13641,pancreatic stellate cell,type 2 diabetes mellitus,620,mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13641|pancreatic_stellate_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__STZ__G2,pancreatic ductal cell,type 2 diabetes mellitus,103,mouse_pancreatic_islet_atlas_Hrovatin__STZ__G2|pancreatic_ductal_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__NOD_elimination__SRR7610297,pancreatic ductal cell,normal,397,mouse_pancreatic_islet_atlas_Hrovatin__NOD_elimination__SRR7610297|pancreatic_ductal_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__Fltp_adult__mouse2,pancreatic PP cell,normal,116,mouse_pancreatic_islet_atlas_Hrovatin__Fltp_adult__mouse2|pancreatic_PP_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__NOD_elimination__SRR7610297,pancreatic A cell,normal,1094,mouse_pancreatic_islet_atlas_Hrovatin__NOD_elimination__SRR7610297|pancreatic_A_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__NOD__SRR10985097,pancreatic A cell,normal,308,mouse_pancreatic_islet_atlas_Hrovatin__NOD__SRR10985097|pancreatic_A_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__Fltp_2y__MUC13975,pancreatic stellate cell,normal,117,mouse_pancreatic_islet_atlas_Hrovatin__Fltp_2y__MUC13975|pancreatic_stellate_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13631,pancreatic stellate cell,type 2 diabetes mellitus,290,mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13631|pancreatic_stellate_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__STZ__G1,endothelial cell,normal,240,mouse_pancreatic_islet_atlas_Hrovatin__STZ__G1|endothelial_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__NOD_elimination__SRR7610296,endothelial cell,normal,884,mouse_pancreatic_islet_atlas_Hrovatin__NOD_elimination__SRR7610296|endothelial_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__Fltp_P16__145_mGFP,pancreatic PP cell,normal,242,mouse_pancreatic_islet_atlas_Hrovatin__Fltp_P16__145_mGFP|pancreatic_PP_cell|normal
